instance_id,t_gini,early_t_gini,success,issue_length,diff_size,test_size,repo
django__django-11400,0.2273600686253483,0.2319948395420095,0.0,799,3224,6720,django/django
django__django-11433,0.3998659394139683,0.39123268696523694,0.0,586,946,1430,django/django
django__django-11451,0.30810960848590896,0.30795546170090216,1.0,2067,575,1039,django/django
django__django-11477,0.3523408044615566,0.2997252643859847,0.0,225,610,3941,django/django
django__django-11490,0.46410609143238224,0.3104217476652191,0.0,457,675,689,django/django
django__django-11532,0.44079291650095254,0.20077076411960126,0.0,2666,4525,1231,django/django
django__django-11551,0.40581270891562005,0.2620594159113796,1.0,5413,2499,1382,django/django
django__django-11555,0.4826185164142287,0.5076595106259005,0.0,748,630,1852,django/django
django__django-11603,0.25405567249764105,0.14464532155672094,0.0,396,584,1230,django/django
django__django-11728,0.36813201164150144,0.3765839147670329,0.0,499,3304,929,django/django
django__django-11734,0.3523926660970671,0.3557804613097668,0.0,832,2077,1810,django/django
django__django-11740,0.5462300954418295,0.579428835647275,0.0,1973,1777,1599,django/django
django__django-11749,0.4545878465793465,0.30779505262595497,0.0,1249,1022,1800,django/django
django__django-11790,0.280307653787772,0.2593962383436068,0.0,465,806,1027,django/django
django__django-11815,0.4269597354600272,0.44590282813633064,0.0,1601,739,4548,django/django
django__django-11820,0.30304443514080504,0.37603264623067534,0.0,343,919,1686,django/django
django__django-11848,0.36707347222590747,0.2638346592634102,0.0,626,869,2236,django/django
django__django-11880,0.2122880942809331,0.28754945186136593,0.0,1078,427,902,django/django
django__django-11885,0.3371564243550129,0.28424724363352505,0.0,1296,10818,707,django/django
django__django-11951,0.3031177585843692,0.3018077187715018,1.0,609,901,1029,django/django
django__django-11964,0.42308268424206097,0.3801213694401573,0.0,2353,559,605,django/django
django__django-11999,0.3406541057367829,0.3898397429875815,0.0,512,870,730,django/django
django__django-12039,0.34256669724389455,0.3188646754943294,0.0,1245,1268,2267,django/django
django__django-12050,0.4173915155735397,0.4307378376627584,0.0,347,1412,630,django/django
django__django-12125,0.3667900352790945,0.30331331999110533,0.0,1589,546,2076,django/django
django__django-12143,0.34082380571399074,0.3839543035181099,1.0,1437,745,1508,django/django
django__django-12155,0.37712227211026406,0.3751523797172871,1.0,777,2268,2107,django/django
django__django-12193,0.3935877197757336,0.41750917526487097,1.0,773,525,1521,django/django
django__django-12209,0.09269869417821641,0.10270157455936668,0.0,1200,464,1621,django/django
django__django-12262,0.39799140914837605,0.20729288740647256,0.0,1030,680,4224,django/django
django__django-12273,0.25315791879259386,0.25888327487548723,0.0,926,563,2313,django/django
django__django-12276,0.09691841008278379,0.12449436763952892,0.0,604,839,3063,django/django
django__django-12304,0.25771532059067304,0.24947578463203457,0.0,580,510,859,django/django
django__django-12308,0.431105788889538,0.4118032003047136,0.0,459,684,1230,django/django
django__django-12325,0.3416288473486706,0.38570760548584015,0.0,900,1614,3809,django/django
django__django-12406,0.28358811896334957,0.278913271177893,0.0,1066,2165,3151,django/django
django__django-12419,0.29668422683607076,0.3241923905240489,1.0,680,399,542,django/django
django__django-12663,0.2585642258644545,0.36488362161007903,0.0,2854,580,2104,django/django
django__django-12708,0.3151672682353954,0.265619366529912,0.0,959,850,3447,django/django
django__django-12713,0.4201027768610628,0.3935858378450863,1.0,257,1986,1690,django/django
django__django-12741,0.2717623128063711,0.3200138515853308,0.0,398,1527,1036,django/django
django__django-12754,0.16634702320611527,0.2457556831747867,0.0,860,1377,1549,django/django
django__django-12774,0.29009976696387363,0.3020373357605033,0.0,1094,947,3111,django/django
django__django-12858,0.3899784834574369,0.35095328453962216,1.0,794,690,723,django/django
django__django-12965,0.31513088145261237,0.28737971872686896,0.0,2275,523,556,django/django
django__django-13012,0.2558676173677428,0.35948623237071864,0.0,1414,510,767,django/django
django__django-13023,0.2991005318868818,0.35257003043964086,0.0,522,582,1232,django/django
django__django-13028,0.3347521017333397,0.2907679569447319,0.0,2839,693,2155,django/django
django__django-13033,0.3118284610908193,0.3166045192498177,0.0,3732,970,1384,django/django
django__django-13089,0.40745695175750685,0.4513543837153391,1.0,1578,869,971,django/django
django__django-13109,0.3911469428454879,0.343903514296511,1.0,1922,612,4015,django/django
django__django-13112,0.13199137960215301,0.06159491514317539,0.0,1944,884,1331,django/django
django__django-13121,0.41530211920302884,0.3502754131196797,0.0,1189,6564,1443,django/django
