formal_n,sizes,mass_like,lambda_like,t_regulator,proxy_kind,eta_proxy,eta_anchor_de2,gamma_phi_proxy_de2,status_de2,score_de2,eta_anchor_lpa,gamma_phi_proxy_lpa,status_lpa,xi_values,xi_window_pass,susceptibility_values
2.700000,"4,6,8",0.800000,0.750000,0.000000,t_projected_direct,1.8469535841,0.0370000000,,out_of_anchor_band,1.8099535841,0.0160000000,,out_of_anchor_band,0.0859389651|0.0000000000|0.1080992822,True,0.2659451282|0.1629636806|0.3358612892
2.900000,"4,6,8",0.600000,0.500000,0.000000,t_projected_direct,1.8668846018,0.0250000000,,out_of_anchor_band,1.8418846018,0.0150000000,,out_of_anchor_band,0.0641663057|0.1074960937|0.0000000000,True,0.1482923660|0.1895482043|0.1573160576
3.000000,"4,6,8",1.250000,0.750000,0.000000,t_projected_direct,1.8646440339,0.0190000000,,out_of_anchor_band,1.8456440339,0.0130000000,,out_of_anchor_band,0.0246746019|0.0000000000|0.0000000000,True,0.1387799065|0.1787815710|0.1467343713
2.680000,"4,6,8",0.400000,0.750000,0.000000,t_projected_direct,1.8846520109,0.0380000000,,out_of_anchor_band,1.8466520109,0.0160000000,,out_of_anchor_band,0.0536754047|0.0000000000|0.2172101235,True,0.2025093316|0.1335550846|0.8989395004
2.700000,"4,6,8",0.600000,0.750000,0.000000,t_projected_direct,1.9050810230,0.0370000000,,out_of_anchor_band,1.8680810230,0.0160000000,,out_of_anchor_band,0.0348528184|0.0000000000|0.0000000000,True,0.1778923236|0.1877663411|0.1894800186
2.900000,"4,6,8",0.400000,1.000000,0.000000,t_projected_direct,1.9025912178,0.0250000000,,out_of_anchor_band,1.8775912178,0.0150000000,,out_of_anchor_band,0.1230467606|0.0000000000|0.0000000000,True,0.1809990669|0.1176726883|0.1931845791
2.700000,"4,6,8",0.400000,0.750000,0.000000,t_projected_direct,2.0112776774,0.0370000000,,out_of_anchor_band,1.9742776774,0.0160000000,,out_of_anchor_band,0.1292469655|0.1920692918|0.0560240747,True,0.2239978828|0.2957201418|0.2035348941
3.000000,"4,6,8",0.600000,0.500000,0.000000,t_projected_direct,1.9999949787,0.0190000000,,out_of_anchor_band,1.9809949787,0.0130000000,,out_of_anchor_band,0.1114457387|0.0623135340|0.0975450753,True,0.1743339228|0.1437698321|0.1768305433
2.680000,"4,6,8",0.600000,1.000000,0.000000,t_projected_direct,2.0324665721,0.0380000000,,out_of_anchor_band,1.9944665721,0.0160000000,,out_of_anchor_band,0.0571579860|0.0757318656|0.0000000000,True,0.1946082323|0.2310292211|0.1890634968
2.900000,"4,6,8",1.500000,0.500000,0.000000,t_projected_direct,2.0386285241,0.0250000000,,out_of_anchor_band,2.0136285241,0.0150000000,,out_of_anchor_band,0.0940778928|0.0564528799|0.0939697348,True,0.2403721581|0.2564404173|0.2285598897
2.900000,"4,6,8",1.000000,1.000000,0.000000,t_projected_direct,2.0497079877,0.0250000000,,out_of_anchor_band,2.0247079877,0.0150000000,,out_of_anchor_band,0.1053982946|0.0000000000|0.0219408119,True,0.2127034791|0.2098239537|0.2048200425
2.700000,"4,6,8",1.500000,0.750000,0.000000,t_projected_direct,2.0733464498,0.0370000000,,out_of_anchor_band,2.0363464498,0.0160000000,,out_of_anchor_band,0.1104668076|0.0000000000|0.0000000000,True,0.3199325126|0.2916443916|0.3040504243
2.680000,"4,6,8",1.000000,0.500000,0.000000,t_projected_direct,-2.0605857104,0.0380000000,,non_physical_eta_proxy,2.0985857104,0.0160000000,,non_physical_eta_proxy,0.0491197295|0.0000000000|0.0000000000,True,0.1781870098|0.1609635836|2.8589076886
2.700000,"4,6,8",0.600000,1.000000,0.000000,t_projected_direct,2.1452568282,0.0370000000,,out_of_anchor_band,2.1082568282,0.0160000000,,out_of_anchor_band,0.0992485226|0.0000000000|0.0103060236,True,0.2681061435|0.2275311114|0.2376179670
2.900000,"4,6,8",1.000000,0.500000,0.000000,t_projected_direct,2.1970902887,0.0250000000,,out_of_anchor_band,2.1720902887,0.0150000000,,out_of_anchor_band,0.0825747964|0.0953450702|0.0000000000,True,0.1725346692|0.1876142611|0.1548082077
2.780000,"4,6,8",0.800000,0.750000,0.000000,t_projected_direct,2.2156789333,0.0320000000,,out_of_anchor_band,2.1836789333,0.0160000000,,out_of_anchor_band,0.1319218717|0.0699838946|0.0000000000,True,0.2190300177|0.1700981563|0.1861152139
2.780000,"4,6,8",0.800000,0.500000,0.000000,t_projected_direct,2.2176830250,0.0320000000,,out_of_anchor_band,2.1856830250,0.0160000000,,out_of_anchor_band,0.0544623280|0.0597953152|0.0000000000,True,0.1818900815|0.1921647913|0.1531392122
2.700000,"4,6,8",0.400000,1.000000,0.000000,t_projected_direct,2.2616385561,0.0370000000,,out_of_anchor_band,2.2246385561,0.0160000000,,out_of_anchor_band,0.1083108799|0.0885985952|0.0000000000,True,0.2237585359|0.2255797985|0.1870661228
2.780000,"4,6,8",1.500000,1.000000,0.000000,t_projected_direct,2.2616876608,0.0320000000,,out_of_anchor_band,2.2296876608,0.0160000000,,out_of_anchor_band,0.1909147656|0.1526536359|0.1237388149,True,0.4586904594|0.4536547117|0.3683913069
2.900000,"4,6,8",1.250000,0.750000,0.000000,t_projected_direct,2.2580875884,0.0250000000,,out_of_anchor_band,2.2330875884,0.0150000000,,out_of_anchor_band,0.0643236048|0.0000000000|0.0000000000,True,0.2185892446|0.1795545022|0.2002955442
2.680000,"4,6,8",0.800000,0.500000,0.000000,t_projected_direct,2.3399215225,0.0380000000,,out_of_anchor_band,2.3019215225,0.0160000000,,out_of_anchor_band,0.1112595851|0.1190915687|0.0743354313,True,0.2320827786|0.2175321548|0.1829531461
2.780000,"4,6,8",1.500000,0.750000,0.000000,t_projected_direct,2.3395230601,0.0320000000,,out_of_anchor_band,2.3075230601,0.0160000000,,out_of_anchor_band,0.2334915426|0.2576387377|0.1089751170,True,0.4851710229|1.6488313201|0.3621057606
2.780000,"4,6,8",1.000000,1.000000,0.000000,t_projected_direct,-2.2779057370,0.0320000000,,non_physical_eta_proxy,2.3099057370,0.0160000000,,non_physical_eta_proxy,0.0000000000|0.1631079287|0.2130939721,True,0.1175592670|0.4834612186|4.1044486006
2.700000,"4,6,8",1.500000,1.000000,0.000000,t_projected_direct,2.3679401889,0.0370000000,,out_of_anchor_band,2.3309401889,0.0160000000,,out_of_anchor_band,0.1519560370|0.1165926323|0.0000000000,True,0.4530742607|0.8152589319|0.3350438637
2.780000,"4,6,8",0.400000,0.750000,0.000000,t_projected_direct,2.5281144591,0.0320000000,,out_of_anchor_band,2.4961144591,0.0160000000,,out_of_anchor_band,0.1739142587|0.1628790673|0.0000000000,True,0.2130602657|0.3585937616|0.1488610174
3.000000,"4,6,8",1.000000,0.500000,0.000000,t_projected_direct,2.5496599754,0.0190000000,,out_of_anchor_band,2.5306599754,0.0130000000,,out_of_anchor_band,0.2644252465|0.0416295541|0.1236614070,True,0.4347584860|0.1846762683|0.2767228429
2.900000,"4,6,8",0.800000,0.750000,0.000000,t_projected_direct,2.6032680583,0.0250000000,,out_of_anchor_band,2.5782680583,0.0150000000,,out_of_anchor_band,0.0000000000|0.0000000000|0.0000000000,True,0.1785116017|0.1122219898|0.1306447415
2.900000,"4,6,8",1.000000,0.750000,0.000000,t_projected_direct,2.6830524229,0.0250000000,,out_of_anchor_band,2.6580524229,0.0150000000,,out_of_anchor_band,0.2002274286|0.0000000000|0.0000000000,True,0.3441369834|0.1505769908|0.2207223811
2.700000,"4,6,8",0.800000,0.500000,0.000000,t_projected_direct,2.7429156606,0.0370000000,,out_of_anchor_band,2.7059156606,0.0160000000,,out_of_anchor_band,0.1406862351|0.2535522263|0.0000000000,True,0.2627637920|3.2671683992|0.1499307609
2.680000,"4,6,8",1.500000,0.750000,0.000000,t_projected_direct,2.8560240898,0.0380000000,,out_of_anchor_band,2.8180240898,0.0160000000,,out_of_anchor_band,0.1529084160|0.1399665848|0.0000000000,True,0.4626480471|0.5007016101|0.2589717545
2.900000,"4,6,8",1.500000,1.000000,0.000000,t_projected_direct,2.9103308423,0.0250000000,,out_of_anchor_band,2.8853308423,0.0150000000,,out_of_anchor_band,0.1878275308|0.0000000000|0.0000000000,True,0.4862645403|0.1828457826|0.2423207948
2.900000,"4,6,8",0.800000,1.000000,0.000000,t_projected_direct,-2.9013015710,0.0250000000,,non_physical_eta_proxy,2.9263015710,0.0150000000,,non_physical_eta_proxy,0.1224476677|0.0487985419|0.2044285078,True,0.2048050508|0.1723936027|11.9973752665
2.680000,"4,6,8",0.400000,0.500000,0.000000,t_projected_direct,-2.8930247182,0.0380000000,,non_physical_eta_proxy,2.9310247182,0.0160000000,,non_physical_eta_proxy,0.0995148582|0.1397606256|0.0000000000,True,0.1916944977|0.2729418574|20.3394525741
3.000000,"4,6,8",0.400000,0.500000,0.000000,t_projected_direct,2.9978357106,0.0190000000,,out_of_anchor_band,2.9788357106,0.0130000000,,out_of_anchor_band,0.1653402249|0.0000000000|0.0000000000,True,0.2619231813|0.1070526506|0.0998481419
3.000000,"4,6,8",1.500000,1.000000,0.000000,t_projected_direct,3.1009140345,0.0190000000,,out_of_anchor_band,3.0819140345,0.0130000000,,out_of_anchor_band,0.2417028170|0.4283711570|0.0000000000,True,0.5061984946|9.7073040084|0.2448960616
2.900000,"4,6,8",1.250000,0.500000,0.000000,t_projected_direct,3.2650130684,0.0250000000,,out_of_anchor_band,3.2400130684,0.0150000000,,out_of_anchor_band,0.1627611910|0.1054197711|0.0000000000,True,0.3226844566|0.2886706032|0.1413354343
2.700000,"4,6,8",1.500000,0.500000,0.000000,t_projected_direct,3.6151648384,0.0370000000,,out_of_anchor_band,3.5781648384,0.0160000000,,out_of_anchor_band,0.2555452361|0.0000000000|0.0000000000,True,0.7522593834|0.2533262963|0.2392705533
2.700000,"4,6,8",1.000000,1.000000,0.000000,t_projected_direct,-3.7960424994,0.0370000000,,non_physical_eta_proxy,3.8330424994,0.0160000000,,non_physical_eta_proxy,0.0987211028|0.1101938436|0.2331211601,True,0.2695724707|0.3234029105|14.0943609319
2.700000,"4,6,8",1.250000,0.750000,0.000000,t_projected_direct,-3.8043073050,0.0370000000,,non_physical_eta_proxy,3.8413073050,0.0160000000,,non_physical_eta_proxy,0.1431762654|0.0000000000|0.1873526358,True,0.3775309145|0.2836466402|18.4196275209
2.900000,"4,6,8",1.250000,1.000000,0.000000,t_projected_direct,-4.0286083332,0.0250000000,,non_physical_eta_proxy,4.0536083332,0.0150000000,,non_physical_eta_proxy,0.1994416263|0.1136470291|0.1535668095,True,0.3975752852|0.3852976688|12.7993935904
2.780000,"4,6,8",1.500000,0.500000,0.000000,t_projected_direct,-4.7413051190,0.0320000000,,non_physical_eta_proxy,4.7733051190,0.0160000000,,non_physical_eta_proxy,0.0000000000|0.0000000000|0.1745994142,True,0.2517254587|0.2006278864|26.6007250440
