model,dimension_mode,L,coupling_id,observable,mean,stderr,tau_int,seed,formal_n,n_eff,transverse_weight,t_axis_weight,projection_ratio,proxy_kind,mass_like,lambda_like,schedule_mode,schedule_source,update_kernel,proposal_scale_final,metro_hits,measure_stride,site_order,surface_id,topology_proxy_kind,surface_selector
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_direct_crossing::n2.78_m1.000_lam1.200,structure_factor_kmin,0.3107968307,0.0204641770,0.8090593841,5299,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_direct_crossing::n2.78_m1.000_lam1.200,magnetization_abs,1.2907932381,0.0090524963,0.8090593841,5299,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_direct_crossing::n2.78_m1.000_lam1.200,acceptance_rate,0.5160872396,0.0012171214,0.5000000000,5299,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_direct_crossing::n2.78_m1.000_lam1.200,binder,0.6638348435,0.0001745169,0.5000000000,5561,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_direct_crossing::n2.78_m1.000_lam1.200,xi_over_L,0.0845083021,0.0206356850,0.5000000000,5561,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_direct_crossing::n2.78_m1.000_lam1.200,susceptibility,0.3606620551,0.0222473438,0.5000000000,5561,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_direct_crossing::n2.78_m1.000_lam1.200,structure_factor_kmin,0.2902057986,0.0237948230,0.5000000000,5561,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_direct_crossing::n2.78_m1.000_lam1.200,magnetization_abs,1.2970241900,0.0055052462,0.5000000000,5561,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_direct_crossing::n2.78_m1.000_lam1.200,acceptance_rate,0.5183625000,0.0012647927,0.5000000000,5561,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_direct_crossing::n2.78_m1.050_lam1.000,binder,0.6608574271,0.0005620265,0.5000000000,4842,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
