model,dimension_mode,L,coupling_id,observable,mean,stderr,tau_int,seed,formal_n,n_eff,transverse_weight,t_axis_weight,projection_ratio,proxy_kind,mass_like,lambda_like,schedule_mode,schedule_source,update_kernel,proposal_scale_final,metro_hits,measure_stride,site_order
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.100,structure_factor_kmin,0.2265242827,0.0158081264,0.5955114810,4927,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.100,magnetization_abs,1.4108874070,0.0089816172,0.5955114810,4927,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.100,acceptance_rate,0.5403703704,0.0019373823,0.5000000000,4927,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.100,binder,0.6642477619,0.0003509020,0.5730977883,5189,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.624387,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.100,xi_over_L,0.0187886965,0.0317496180,0.5730977883,5189,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.624387,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.100,susceptibility,0.2361683201,0.0308517856,0.5730977883,5189,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.624387,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.100,structure_factor_kmin,0.2334189156,0.0173370742,0.5730977883,5189,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.624387,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.100,magnetization_abs,1.4145265834,0.0059617906,0.5730977883,5189,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.624387,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.100,acceptance_rate,0.5460611979,0.0015942664,0.5000000000,5189,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.624387,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.100,binder,0.6646351951,0.0002277239,0.5000000000,5451,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.865150,4,5,shuffled
