instance_id,t_gini,early_t_gini,success,issue_length,diff_size,test_size,repo
pytest-dev__pytest-5495,0.3152691745234575,0.3239861498605021,0.0,739,1657,1022,pytest-dev/pytest
pytest-dev__pytest-5692,0.4160220696457606,0.24434283852803285,1.0,1280,675,1270,pytest-dev/pytest
pytest-dev__pytest-6116,0.33008371282877746,0.21246521607939117,0.0,986,344,890,pytest-dev/pytest
pytest-dev__pytest-7168,0.5443905728230156,0.6012810815921339,0.0,8443,512,810,pytest-dev/pytest
pytest-dev__pytest-7220,0.3534998561757887,0.42752713018843425,0.0,2641,1139,1000,pytest-dev/pytest
pytest-dev__pytest-7373,0.3760119935638577,0.4805276011621542,0.0,1032,1486,1170,pytest-dev/pytest
pytest-dev__pytest-7432,0.43144009199234734,0.36832134848836295,0.0,773,456,1137,pytest-dev/pytest
pytest-dev__pytest-7490,0.40796556488988345,0.40346055777682976,0.0,22778,1711,1453,pytest-dev/pytest
pytest-dev__pytest-8365,0.400560415794887,0.3922747563086455,0.0,1873,846,1088,pytest-dev/pytest
pytest-dev__pytest-8906,0.3796350341593644,0.4634723315958551,0.0,1970,977,398,pytest-dev/pytest
pytest-dev__pytest-9359,0.19976786607611308,0.29534879526763813,0.0,3402,907,497,pytest-dev/pytest
scikit-learn__scikit-learn-10297,0.4236925653281234,0.437058906228033,1.0,1519,3739,2176,scikit-learn/scikit-learn
scikit-learn__scikit-learn-10508,0.42479179932826416,0.3069538749707328,0.0,1646,924,1013,scikit-learn/scikit-learn
scikit-learn__scikit-learn-10949,0.4198405169702941,0.45384282367321993,0.0,1478,1521,2198,scikit-learn/scikit-learn
scikit-learn__scikit-learn-11040,0.41124669693442417,0.38069150657141115,0.0,747,1251,1485,scikit-learn/scikit-learn
scikit-learn__scikit-learn-11281,0.24279923411734083,0.25403730347046993,0.0,552,2092,4705,scikit-learn/scikit-learn
scikit-learn__scikit-learn-12471,0.28020416349775634,0.4288492176968013,0.0,2145,1023,1253,scikit-learn/scikit-learn
scikit-learn__scikit-learn-13142,0.30027343614474544,0.38875810074164185,0.0,2314,1155,1685,scikit-learn/scikit-learn
scikit-learn__scikit-learn-13241,0.3872993275965071,0.20864594498035016,0.0,806,995,2667,scikit-learn/scikit-learn
scikit-learn__scikit-learn-13439,0.1514802225932741,0.212867814167506,0.0,1234,502,394,scikit-learn/scikit-learn
scikit-learn__scikit-learn-13496,0.19713241954884975,0.24335317460317474,0.0,1371,1285,1151,scikit-learn/scikit-learn
scikit-learn__scikit-learn-13497,0.27924954511620204,0.26443932099643175,0.0,306,1542,1832,scikit-learn/scikit-learn
scikit-learn__scikit-learn-13584,0.46132937654288564,0.38270901400602786,1.0,386,567,774,scikit-learn/scikit-learn
scikit-learn__scikit-learn-13779,0.3756781579734292,0.31080347448425627,0.0,589,563,1784,scikit-learn/scikit-learn
scikit-learn__scikit-learn-14087,0.3341907557748518,0.3478868524562724,0.0,2320,1392,1386,scikit-learn/scikit-learn
scikit-learn__scikit-learn-14092,0.23534403826110672,0.25079114398520663,0.0,3091,1405,1317,scikit-learn/scikit-learn
scikit-learn__scikit-learn-14894,0.3562433616475791,0.32445681808648974,1.0,1716,1050,887,scikit-learn/scikit-learn
scikit-learn__scikit-learn-14983,0.2880136427872595,0.35862902517725037,0.0,1297,927,873,scikit-learn/scikit-learn
scikit-learn__scikit-learn-15512,0.3874469615523577,0.4313062466913711,0.0,1887,1348,801,scikit-learn/scikit-learn
scikit-learn__scikit-learn-15535,0.3421324672191064,0.35227431770468853,1.0,545,658,687,scikit-learn/scikit-learn
scikit-learn__scikit-learn-25500,0.4715834791880418,0.4134398919405673,0.0,4695,2193,1263,scikit-learn/scikit-learn
scikit-learn__scikit-learn-25570,0.2500584178563141,0.2234560916855246,0.0,5590,793,1421,scikit-learn/scikit-learn
scikit-learn__scikit-learn-25638,0.3156738059720452,0.3435488432603653,0.0,1598,2645,3644,scikit-learn/scikit-learn
